,disaster,disaster_type,date,lgt,lat,severity,highest_severity,moment,file
13,hurricane-michael,wind,2017-11-29 16:28:19,-85.62231942867903,30.16501694612104,1,Unknown,pre,hurricane-michael_00000315_pre_disaster.json
14,socal-fire,fire,2018-11-14 18:42:58,,,1,Unknown,post,socal-fire_00000535_post_disaster.json
15,hurricane-florence,flooding,2018-04-06 15:49:36,-77.88834817813719,34.62216339166367,1,Unknown,pre,hurricane-florence_00000031_pre_disaster.json
16,hurricane-harvey,flooding,2017-08-31 17:38:50,,,1,Unknown,post,hurricane-harvey_00000273_post_disaster.json
17,socal-fire,fire,2018-11-14 18:42:58,,,1,Unknown,post,socal-fire_00000632_post_disaster.json
18,socal-fire,fire,2018-11-14 18:42:58,-118.7887489070957,34.07584565016118,19,destroyed,post,socal-fire_00001278_post_disaster.json
19,santa-rosa-wildfire,fire,2017-06-21 19:09:01,-122.6986641436975,38.51465698822079,1,Unknown,pre,santa-rosa-wildfire_00000174_pre_disaster.json
20,midwest-flooding,flooding,2019-01-26 17:16:23,-96.3346872780094,36.17258805568095,1,Unknown,pre,midwest-flooding_00000270_pre_disaster.json
21,hurricane-florence,flooding,2018-04-06 15:49:36,-77.98129258873871,34.75725399593675,1,Unknown,pre,hurricane-florence_00000362_pre_disaster.json
22,hurricane-harvey,flooding,2017-08-31 17:38:50,-95.6337194406252,29.73595106086036,1,no-damage,post,hurricane-harvey_00000172_post_disaster.json
23,hurricane-michael,wind,2017-11-29 16:28:19,-85.6589204163809,30.21321087489819,1,Unknown,pre,hurricane-michael_00000158_pre_disaster.json
24,socal-fire,fire,2018-10-23 18:51:02,-118.8323613706277,34.13972064054219,1,Unknown,pre,socal-fire_00000239_pre_disaster.json
25,hurricane-harvey,flooding,2017-02-16 17:11:21,-95.37961991029142,30.03413596997573,1,Unknown,pre,hurricane-harvey_00000042_pre_disaster.json
26,hurricane-michael,wind,2017-11-29 16:28:19,-85.64251757944622,30.17210929702027,1,Unknown,pre,hurricane-michael_00000290_pre_disaster.json
27,hurricane-harvey,flooding,2017-02-16 17:11:21,-95.43494487250908,29.72980980673795,1,Unknown,pre,hurricane-harvey_00000010_pre_disaster.json
28,hurricane-matthew,wind,2016-10-01 15:29:45,-73.75323526168407,18.20986176325887,31,minor-damage,post,hurricane-matthew_00000095_post_disaster.json
29,midwest-flooding,flooding,2019-05-30 17:35:04,-96.2437675967701,36.26541531681401,1,no-damage,post,midwest-flooding_00000125_post_disaster.json
30,hurricane-harvey,flooding,2017-02-16 17:11:58,-95.57774622665603,29.79148755317505,1,Unknown,pre,hurricane-harvey_00000430_pre_disaster.json
31,socal-fire,fire,2018-11-14 18:42:58,-118.7397950858335,34.14264519477389,1,no-damage,post,socal-fire_00001368_post_disaster.json
32,hurricane-harvey,flooding,2017-08-31 17:38:50,-95.53877602523558,29.78336587605638,1,no-damage,post,hurricane-harvey_00000448_post_disaster.json
33,hurricane-matthew,wind,2013-06-09 15:51:17,-74.15102618078242,18.58826119380377,1,Unknown,pre,hurricane-matthew_00000178_pre_disaster.json
34,socal-fire,fire,2018-11-14 18:42:58,,,1,Unknown,post,socal-fire_00001112_post_disaster.json
35,socal-fire,fire,2018-11-14 18:42:58,,,1,Unknown,post,socal-fire_00000540_post_disaster.json
36,hurricane-harvey,flooding,2017-08-31 17:39:25,-95.3790759303962,30.04183702377772,90,major-damage,post,hurricane-harvey_00000030_post_disaster.json
37,hurricane-florence,flooding,2018-09-20 16:04:41,-77.93453073492938,34.74704158038697,30,major-damage,post,hurricane-florence_00000494_post_disaster.json
38,hurricane-harvey,flooding,2017-02-16 17:11:58,-95.6119179211718,29.51852524486371,1,Unknown,pre,hurricane-harvey_00000265_pre_disaster.json
39,hurricane-florence,flooding,2018-09-20 16:04:41,-78.01402568145828,34.67386888196509,7,destroyed,post,hurricane-florence_00000310_post_disaster.json
40,socal-fire,fire,2018-11-14 18:42:58,-118.7313699137845,34.10498522969269,1,no-damage,post,socal-fire_00001080_post_disaster.json
41,socal-fire,fire,2018-11-14 18:42:58,-118.8180743205021,34.1067598724653,4,destroyed,post,socal-fire_00000824_post_disaster.json
42,socal-fire,fire,2018-11-14 18:42:58,-118.7478140645451,34.14941102083375,1,no-damage,post,socal-fire_00000643_post_disaster.json
43,socal-fire,fire,2018-11-14 18:42:58,,,1,Unknown,post,socal-fire_00000875_post_disaster.json
44,socal-fire,fire,2018-11-14 18:42:58,,,1,Unknown,post,socal-fire_00000572_post_disaster.json
45,hurricane-florence,flooding,2018-09-20 16:04:41,-77.91978439896535,34.75249580322141,55,major-damage,post,hurricane-florence_00000462_post_disaster.json
46,socal-fire,fire,2018-11-14 18:42:58,,,1,Unknown,post,socal-fire_00000812_post_disaster.json
47,hurricane-harvey,flooding,2017-08-31 17:39:25,-95.35059136582774,30.02974319714401,29,major-damage,post,hurricane-harvey_00000082_post_disaster.json
48,hurricane-harvey,flooding,2017-08-31 17:38:50,-95.61697584524586,29.77859156330615,66,destroyed,post,hurricane-harvey_00000408_post_disaster.json
49,palu-tsunami,tsunami,2017-01-24 02:18:34,119.8265393440852,-0.8782489864518197,1,Unknown,pre,palu-tsunami_00000040_pre_disaster.json
50,socal-fire,fire,2018-11-14 18:42:58,,,1,Unknown,post,socal-fire_00000529_post_disaster.json
51,hurricane-harvey,flooding,2017-08-31 17:38:50,-95.58787851813074,29.4761462168819,11,major-damage,post,hurricane-harvey_00000335_post_disaster.json
52,socal-fire,fire,2018-11-14 18:42:58,-118.9014183514251,34.04219620752338,1,no-damage,post,socal-fire_00000422_post_disaster.json
53,santa-rosa-wildfire,fire,2017-10-11 19:19:41,-122.6729154837288,38.5029788562749,25,destroyed,post,santa-rosa-wildfire_00000353_post_disaster.json
54,hurricane-harvey,flooding,2017-02-16 17:11:58,-95.57369660348996,29.46169253290127,1,Unknown,pre,hurricane-harvey_00000329_pre_disaster.json
55,hurricane-matthew,wind,2016-10-10 16:04:56,-74.13139655865052,18.57383926003292,72,destroyed,post,hurricane-matthew_00000231_post_disaster.json
56,hurricane-florence,flooding,2018-09-20 16:04:41,-77.85368994949596,34.57141660277781,9,major-damage,post,hurricane-florence_00000219_post_disaster.json
57,hurricane-matthew,wind,2013-06-09 15:50:52,,,1,Unknown,pre,hurricane-matthew_00000370_pre_disaster.json
58,palu-tsunami,tsunami,2018-10-01 02:26:02,119.7994467264805,-0.7921012228089414,13,destroyed,post,palu-tsunami_00000092_post_disaster.json
59,socal-fire,fire,2018-11-14 18:42:58,-118.8096491090357,34.1000495344149,46,destroyed,post,socal-fire_00000686_post_disaster.json
60,hurricane-michael,wind,2018-10-13 16:48:15,-85.65368488544384,30.28865104706868,6,minor-damage,post,hurricane-michael_00000348_post_disaster.json
61,socal-fire,fire,2018-10-23 18:51:02,,,1,Unknown,pre,socal-fire_00000094_pre_disaster.json
62,socal-fire,fire,2018-10-23 18:51:02,-118.829725973209,34.1120257621633,1,Unknown,pre,socal-fire_00000191_pre_disaster.json
63,hurricane-michael,wind,2018-10-13 16:48:15,-85.68018776390957,30.18903891069935,142,destroyed,post,hurricane-michael_00000440_post_disaster.json
64,midwest-flooding,flooding,2019-01-26 17:16:23,-96.3222872624246,36.23849295636959,1,Unknown,pre,midwest-flooding_00000193_pre_disaster.json
65,hurricane-michael,wind,2018-10-13 16:48:15,-85.6244955141452,30.18291893372962,171,destroyed,post,hurricane-michael_00000133_post_disaster.json
66,hurricane-harvey,flooding,2017-08-31 17:38:50,,,1,Unknown,post,hurricane-harvey_00000330_post_disaster.json
67,hurricane-harvey,flooding,2017-08-31 17:38:50,-95.67464993821582,29.84417618420378,1,no-damage,post,hurricane-harvey_00000119_post_disaster.json
68,palu-tsunami,tsunami,2016-10-25 02:26:09,119.818044633061,-0.8530037233755172,1,Unknown,pre,palu-tsunami_00000155_pre_disaster.json
69,hurricane-florence,flooding,2018-04-06 15:49:36,-77.98856622810979,34.71647367531182,1,Unknown,pre,hurricane-florence_00000259_pre_disaster.json
70,santa-rosa-wildfire,fire,2017-10-11 19:19:41,-122.7211520187274,38.49727633489319,13,destroyed,post,santa-rosa-wildfire_00000091_post_disaster.json
71,hurricane-florence,flooding,2018-09-20 16:04:41,-77.95986728413773,34.64934818911821,1,no-damage,post,hurricane-florence_00000357_post_disaster.json
72,socal-fire,fire,2018-10-23 18:50:43,,,1,Unknown,pre,socal-fire_00001287_pre_disaster.json
73,midwest-flooding,flooding,2019-05-30 17:35:22,-96.22214738048531,36.40128018821426,1,no-damage,post,midwest-flooding_00000083_post_disaster.json
74,socal-fire,fire,2018-10-23 18:51:02,,,1,Unknown,pre,socal-fire_00000295_pre_disaster.json
75,midwest-flooding,flooding,2019-05-30 17:35:22,-96.22777639532639,36.20911279438869,1,no-damage,post,midwest-flooding_00000318_post_disaster.json
76,hurricane-michael,wind,2017-11-29 16:28:19,-85.63656029638346,30.14132739429434,1,Unknown,pre,hurricane-michael_00000101_pre_disaster.json
77,socal-fire,fire,2018-11-14 18:42:58,,,1,Unknown,post,socal-fire_00000151_post_disaster.json
78,mexico-earthquake,earthquake,2017-09-20 17:46:11,-99.18007417631823,19.32562961427238,1,no-damage,post,mexico-earthquake_00000041_post_disaster.json
79,palu-tsunami,tsunami,2018-10-01 02:26:02,119.9280666283689,-0.9805853580913632,10,destroyed,post,palu-tsunami_00000187_post_disaster.json
80,midwest-flooding,flooding,2019-01-26 17:16:23,-96.35933786912527,36.20707138395107,1,Unknown,pre,midwest-flooding_00000285_pre_disaster.json
81,hurricane-harvey,flooding,2017-02-16 17:11:58,-95.55762119677632,29.50266657107598,1,Unknown,pre,hurricane-harvey_00000222_pre_disaster.json
82,socal-fire,fire,2018-10-23 18:50:43,,,1,Unknown,pre,socal-fire_00001149_pre_disaster.json
83,mexico-earthquake,earthquake,2017-09-20 17:46:11,-99.17781279092286,19.26555003599503,7,major-damage,post,mexico-earthquake_00000108_post_disaster.json
84,hurricane-matthew,wind,2013-01-05 16:02:21,-73.77593378953985,18.17758057962356,1,Unknown,pre,hurricane-matthew_00000140_pre_disaster.json
85,hurricane-harvey,flooding,2017-02-16 17:11:58,-95.67494288878396,29.58316925244995,1,Unknown,pre,hurricane-harvey_00000073_pre_disaster.json
86,socal-fire,fire,2018-11-14 18:42:58,,,1,Unknown,post,socal-fire_00000083_post_disaster.json
87,socal-fire,fire,2018-11-14 18:42:58,-118.7818374853969,34.06817708635121,1,no-damage,post,socal-fire_00001258_post_disaster.json
88,midwest-flooding,flooding,2019-05-30 17:35:04,-96.34501530176368,36.10567056294659,11,major-damage,post,midwest-flooding_00000399_post_disaster.json
89,socal-fire,fire,2018-10-23 18:51:02,,,1,Unknown,pre,socal-fire_00000520_pre_disaster.json
90,socal-fire,fire,2018-10-23 18:51:21,,,1,Unknown,pre,socal-fire_00000026_pre_disaster.json
91,hurricane-harvey,flooding,2017-02-16 17:11:58,-95.63760049330878,29.76193644441401,1,Unknown,pre,hurricane-harvey_00000237_pre_disaster.json
92,hurricane-florence,flooding,2018-04-06 15:49:36,-78.01066993992555,34.77665656670924,1,Unknown,pre,hurricane-florence_00000399_pre_disaster.json
93,hurricane-michael,wind,2017-10-05 16:51:27,-85.68897385934821,30.18603034271476,1,Unknown,pre,hurricane-michael_00000403_pre_disaster.json
94,socal-fire,fire,2018-11-14 18:42:58,,,1,Unknown,post,socal-fire_00000230_post_disaster.json
95,mexico-earthquake,earthquake,2017-01-04 17:31:25,-99.19555026684468,19.29966468325812,1,Unknown,pre,mexico-earthquake_00000035_pre_disaster.json
96,socal-fire,fire,2018-10-23 18:51:02,-118.8267472552215,34.0339964159521,1,Unknown,pre,socal-fire_00001263_pre_disaster.json
97,hurricane-matthew,wind,2013-06-09 15:51:17,-74.12770527285161,18.54504367844331,1,Unknown,pre,hurricane-matthew_00000334_pre_disaster.json
98,hurricane-harvey,flooding,2017-08-31 17:38:50,-95.59002856153752,29.53125408459427,22,destroyed,post,hurricane-harvey_00000325_post_disaster.json
99,socal-fire,fire,2018-11-14 18:42:58,,,1,Unknown,post,socal-fire_00000727_post_disaster.json
100,hurricane-matthew,wind,2016-10-10 16:04:56,-74.10925290888731,18.25383091419814,19,destroyed,post,hurricane-matthew_00000379_post_disaster.json
101,midwest-flooding,flooding,2019-01-26 17:16:23,-96.34766744837947,36.11159244093422,1,Unknown,pre,midwest-flooding_00000405_pre_disaster.json
102,hurricane-harvey,flooding,2017-02-16 17:11:58,-95.53297947610213,29.74667727493231,1,Unknown,pre,hurricane-harvey_00000484_pre_disaster.json
103,socal-fire,fire,2018-11-14 18:42:58,-118.8959025311856,34.11928554134826,1,no-damage,post,socal-fire_00000050_post_disaster.json
104,santa-rosa-wildfire,fire,2017-10-11 19:19:41,-122.7115255641586,38.49402138282684,331,destroyed,post,santa-rosa-wildfire_00000036_post_disaster.json
105,hurricane-florence,flooding,2018-04-06 15:49:36,-77.93973267057805,34.80040719856069,1,Unknown,pre,hurricane-florence_00000435_pre_disaster.json
106,hurricane-florence,flooding,2018-04-06 15:49:36,,,1,Unknown,pre,hurricane-florence_00000203_pre_disaster.json
107,hurricane-matthew,wind,2013-06-09 15:51:17,,,1,Unknown,pre,hurricane-matthew_00000269_pre_disaster.json
108,palu-tsunami,tsunami,2018-02-20 02:24:45,119.9152700678884,-0.9342673350568211,1,Unknown,pre,palu-tsunami_00000168_pre_disaster.json
109,socal-fire,fire,2018-10-23 18:51:02,-118.8043615302238,34.03139506359079,1,Unknown,pre,socal-fire_00001047_pre_disaster.json
110,socal-fire,fire,2018-11-14 18:42:58,-118.7230586341467,34.04683533128672,16,destroyed,post,socal-fire_00001385_post_disaster.json
111,socal-fire,fire,2018-10-23 18:50:43,-118.7210512208081,34.11601785961097,1,Unknown,pre,socal-fire_00001292_pre_disaster.json
112,hurricane-florence,flooding,2018-09-18 16:32:47,-78.99765646289661,33.65058191901449,1,no-damage,post,hurricane-florence_00000016_post_disaster.json
113,hurricane-florence,flooding,2018-04-06 15:49:36,-77.91916395255947,34.7646262334378,1,Unknown,pre,hurricane-florence_00000423_pre_disaster.json
114,hurricane-michael,wind,2018-10-13 16:48:15,-85.62576415123014,30.17163637952704,46,destroyed,post,hurricane-michael_00000301_post_disaster.json
115,socal-fire,fire,2018-10-23 18:51:02,,,1,Unknown,pre,socal-fire_00000835_pre_disaster.json
116,hurricane-harvey,flooding,2017-02-16 17:11:58,-95.55713556964254,29.77461543194741,1,Unknown,pre,hurricane-harvey_00000442_pre_disaster.json
117,hurricane-matthew,wind,2013-06-09 15:51:17,-74.13075051384885,18.54527794003461,1,Unknown,pre,hurricane-matthew_00000328_pre_disaster.json
118,palu-tsunami,tsunami,2017-01-24 02:18:34,119.8603230411074,-0.8883471464329893,1,Unknown,pre,palu-tsunami_00000087_pre_disaster.json
119,hurricane-harvey,flooding,2017-02-16 17:11:58,-95.58080884624205,29.71806261466092,1,Unknown,pre,hurricane-harvey_00000452_pre_disaster.json
120,hurricane-florence,flooding,2018-09-20 16:04:41,-77.90149906881173,34.55914430226061,4,minor-damage,post,hurricane-florence_00000122_post_disaster.json
121,socal-fire,fire,2018-10-23 18:51:02,,,1,Unknown,pre,socal-fire_00000053_pre_disaster.json
122,hurricane-harvey,flooding,2017-08-31 17:39:25,-95.35644824091804,30.03229687821986,51,major-damage,post,hurricane-harvey_00000081_post_disaster.json
123,hurricane-florence,flooding,2018-09-20 16:04:41,-78.02119487899881,34.70554182227798,1,no-damage,post,hurricane-florence_00000284_post_disaster.json
124,socal-fire,fire,2018-11-14 18:42:58,,,1,Unknown,post,socal-fire_00001351_post_disaster.json
125,hurricane-michael,wind,2018-10-13 16:48:15,-85.76813212486346,30.1630657393371,5,minor-damage,post,hurricane-michael_00000517_post_disaster.json
126,hurricane-florence,flooding,2018-09-20 16:04:41,-77.93254569586205,34.7802942360488,1,no-damage,post,hurricane-florence_00000424_post_disaster.json
127,socal-fire,fire,2018-11-14 18:42:58,,,1,Unknown,post,socal-fire_00000543_post_disaster.json
128,socal-fire,fire,2018-11-14 18:42:58,,,1,Unknown,post,socal-fire_00000457_post_disaster.json
129,hurricane-michael,wind,2017-10-05 16:51:27,-85.75808914645046,30.19157435542222,1,Unknown,pre,hurricane-michael_00000535_pre_disaster.json
130,hurricane-michael,wind,2017-10-05 16:51:27,-85.7410915437113,30.15267568207991,1,Unknown,pre,hurricane-michael_00000480_pre_disaster.json
131,socal-fire,fire,2018-11-14 18:42:58,-118.9315969742011,34.14447492218094,1,no-damage,post,socal-fire_00000227_post_disaster.json
132,midwest-flooding,flooding,2019-05-31 16:54:31,-92.32406015439291,34.79460788072985,7,destroyed,post,midwest-flooding_00000010_post_disaster.json
133,socal-fire,fire,2018-11-14 18:42:58,-118.9353198219958,34.04545645773822,22,destroyed,post,socal-fire_00000510_post_disaster.json
134,socal-fire,fire,2018-10-23 18:51:02,-118.7918393573722,34.09541686496935,1,Unknown,pre,socal-fire_00000940_pre_disaster.json
135,santa-rosa-wildfire,fire,2017-10-11 19:19:41,-122.7200505679835,38.41761440064889,1,no-damage,post,santa-rosa-wildfire_00000173_post_disaster.json
136,hurricane-matthew,wind,2013-06-09 15:51:17,-74.09695635349729,18.27996650061842,1,Unknown,pre,hurricane-matthew_00000384_pre_disaster.json
137,socal-fire,fire,2018-11-14 18:42:58,,,1,Unknown,post,socal-fire_00000988_post_disaster.json
138,hurricane-florence,flooding,2018-04-06 15:49:36,-77.90378789472558,34.655265785991,1,Unknown,pre,hurricane-florence_00000263_pre_disaster.json
139,midwest-flooding,flooding,2019-01-26 17:16:23,-96.34713175263356,36.23939280838926,1,Unknown,pre,midwest-flooding_00000157_pre_disaster.json
140,socal-fire,fire,2018-11-14 18:42:58,,,1,Unknown,post,socal-fire_00000508_post_disaster.json
141,hurricane-matthew,wind,2013-06-09 15:51:17,-74.13640576571302,18.57520702168311,1,Unknown,pre,hurricane-matthew_00000166_pre_disaster.json
142,socal-fire,fire,2018-10-23 18:51:02,,,1,Unknown,pre,socal-fire_00000333_pre_disaster.json
143,santa-rosa-wildfire,fire,2017-10-11 19:19:41,-122.7190066104789,38.47961722323722,196,destroyed,post,santa-rosa-wildfire_00000015_post_disaster.json
144,hurricane-harvey,flooding,2017-08-31 17:38:50,-95.61066302236989,29.51362415384622,62,major-damage,post,hurricane-harvey_00000312_post_disaster.json
145,midwest-flooding,flooding,2019-01-26 17:16:23,-96.37058476034909,36.17320059106628,1,Unknown,pre,midwest-flooding_00000253_pre_disaster.json
146,hurricane-florence,flooding,2018-04-06 15:49:36,-77.89010325760233,34.78948396549805,1,Unknown,pre,hurricane-florence_00000389_pre_disaster.json
147,hurricane-harvey,flooding,2017-02-16 17:11:58,,,1,Unknown,pre,hurricane-harvey_00000313_pre_disaster.json
148,mexico-earthquake,earthquake,2017-09-20 17:46:11,-99.22542856602574,19.38799719020405,1,no-damage,post,mexico-earthquake_00000066_post_disaster.json
149,santa-rosa-wildfire,fire,2017-10-11 19:19:41,-122.679578650528,38.48549007870573,32,destroyed,post,santa-rosa-wildfire_00000376_post_disaster.json
150,hurricane-matthew,wind,2016-10-09 15:32:03,-73.78472745759136,18.17574451342809,1,no-damage,post,hurricane-matthew_00000128_post_disaster.json
151,hurricane-michael,wind,2017-11-29 16:28:19,-85.65958168037855,30.25290020665494,1,Unknown,pre,hurricane-michael_00000408_pre_disaster.json
152,hurricane-harvey,flooding,2017-08-31 17:38:50,-95.65454970301246,29.83201937113783,67,major-damage,post,hurricane-harvey_00000154_post_disaster.json
153,socal-fire,fire,2018-10-23 18:50:43,-118.7164406068743,34.04783173280737,1,Unknown,pre,socal-fire_00001325_pre_disaster.json
154,midwest-flooding,flooding,2019-01-26 17:16:23,-96.28396702770007,35.93662888345608,1,Unknown,pre,midwest-flooding_00000204_pre_disaster.json
155,santa-rosa-wildfire,fire,2017-05-21 19:19:19,-122.6690185799588,38.47974820080724,1,Unknown,pre,santa-rosa-wildfire_00000372_pre_disaster.json
156,socal-fire,fire,2018-10-23 18:51:02,,,1,Unknown,pre,socal-fire_00000838_pre_disaster.json
157,socal-fire,fire,2018-10-23 18:50:43,,,1,Unknown,pre,socal-fire_00001373_pre_disaster.json
158,hurricane-florence,flooding,2018-04-06 15:49:36,-77.99468477279929,34.69657570881152,1,Unknown,pre,hurricane-florence_00000273_pre_disaster.json
159,socal-fire,fire,2018-11-14 18:42:58,,,1,Unknown,post,socal-fire_00000171_post_disaster.json
160,guatemala-volcano,volcano,2018-06-22 16:55:40,-90.80418462864675,14.36868900818009,1,no-damage,post,guatemala-volcano_00000006_post_disaster.json
161,hurricane-florence,flooding,2018-04-06 15:49:36,-77.94171512831987,34.59415504221621,1,Unknown,pre,hurricane-florence_00000104_pre_disaster.json
162,hurricane-michael,wind,2018-10-13 16:48:15,-85.62411636523242,30.11965333612815,1,un-classified,post,hurricane-michael_00000020_post_disaster.json
163,socal-fire,fire,2018-10-23 18:51:02,,,1,Unknown,pre,socal-fire_00000881_pre_disaster.json
164,socal-fire,fire,2018-11-14 18:42:58,-118.7667569202253,34.14196876865059,1,no-damage,post,socal-fire_00000586_post_disaster.json
165,hurricane-florence,flooding,2018-09-20 16:04:41,-77.95431061836598,34.55747711765242,1,no-damage,post,hurricane-florence_00000067_post_disaster.json
166,santa-rosa-wildfire,fire,2017-10-11 19:19:41,-122.715037170834,38.51574995052746,175,destroyed,post,santa-rosa-wildfire_00000162_post_disaster.json
167,hurricane-harvey,flooding,2017-08-31 17:38:50,-95.58624327330618,29.49313286593476,23,destroyed,post,hurricane-harvey_00000280_post_disaster.json
168,socal-fire,fire,2018-11-14 18:42:58,-118.7572736876552,34.02693630662232,1,no-damage,post,socal-fire_00000887_post_disaster.json
169,socal-fire,fire,2018-11-14 18:42:58,,,1,Unknown,post,socal-fire_00000989_post_disaster.json
170,midwest-flooding,flooding,2019-01-26 17:16:23,-96.22420566785846,36.20235289052083,1,Unknown,pre,midwest-flooding_00000348_pre_disaster.json
171,hurricane-matthew,wind,2016-10-01 15:29:45,-73.7952227833706,18.19986466109876,43,minor-damage,post,hurricane-matthew_00000051_post_disaster.json
172,hurricane-matthew,wind,2016-10-10 16:04:56,-74.15715025706547,18.56796244638067,10,destroyed,post,hurricane-matthew_00000172_post_disaster.json
173,hurricane-matthew,wind,2016-10-10 16:04:56,-74.11979265678677,18.59141242724346,50,destroyed,post,hurricane-matthew_00000204_post_disaster.json
174,santa-rosa-wildfire,fire,2017-06-21 19:09:01,,,1,Unknown,pre,santa-rosa-wildfire_00000258_pre_disaster.json
175,hurricane-michael,wind,2017-11-29 16:28:19,-85.61239079120668,30.17452270475425,1,Unknown,pre,hurricane-michael_00000265_pre_disaster.json
176,socal-fire,fire,2018-10-23 18:50:43,-118.7125996692474,34.16653491035641,1,Unknown,pre,socal-fire_00001124_pre_disaster.json
177,santa-rosa-wildfire,fire,2017-06-21 19:09:01,-122.6986839530113,38.49909569326943,1,Unknown,pre,santa-rosa-wildfire_00000051_pre_disaster.json
178,santa-rosa-wildfire,fire,2017-10-11 19:19:41,-122.6886013169967,38.55744346000515,10,destroyed,post,santa-rosa-wildfire_00000252_post_disaster.json
179,santa-rosa-wildfire,fire,2017-06-21 19:09:01,-122.6977438369631,38.45062665160972,1,Unknown,pre,santa-rosa-wildfire_00000243_pre_disaster.json
180,hurricane-florence,flooding,2018-04-06 15:49:36,-77.92355269600044,34.58335587858449,1,Unknown,pre,hurricane-florence_00000032_pre_disaster.json
181,midwest-flooding,flooding,2019-05-30 17:35:22,-96.23007345510271,36.2060981712786,10,major-damage,post,midwest-flooding_00000331_post_disaster.json
182,hurricane-harvey,flooding,2017-08-31 17:38:50,-95.5398972731453,29.99257355828839,13,major-damage,post,hurricane-harvey_00000517_post_disaster.json
183,socal-fire,fire,2018-10-23 18:50:43,,,1,Unknown,pre,socal-fire_00001357_pre_disaster.json
184,palu-tsunami,tsunami,2018-10-01 02:26:02,,,1,Unknown,post,palu-tsunami_00000077_post_disaster.json
185,hurricane-florence,flooding,2018-04-06 15:49:36,-77.9389623939201,34.55155346156454,1,Unknown,pre,hurricane-florence_00000084_pre_disaster.json
186,hurricane-matthew,wind,2013-06-09 15:51:17,-74.13554249151993,18.55991827380069,1,Unknown,pre,hurricane-matthew_00000238_pre_disaster.json
187,hurricane-harvey,flooding,2017-08-31 17:38:50,-95.62625635838727,29.77941655600196,331,major-damage,post,hurricane-harvey_00000168_post_disaster.json
188,mexico-earthquake,earthquake,2017-09-20 17:46:11,-99.1981334328949,19.30019906697816,1,no-damage,post,mexico-earthquake_00000102_post_disaster.json
189,hurricane-matthew,wind,2013-06-09 15:51:17,-74.13924980098327,18.55705922125901,1,Unknown,pre,hurricane-matthew_00000233_pre_disaster.json
190,socal-fire,fire,2018-10-23 18:50:43,-118.7125443026252,34.16213175954907,1,Unknown,pre,socal-fire_00001313_pre_disaster.json
191,hurricane-florence,flooding,2018-09-20 16:04:41,-77.87765765366385,34.77545188341144,17,major-damage,post,hurricane-florence_00000453_post_disaster.json
192,midwest-flooding,flooding,2019-01-26 17:16:23,-96.3731510745182,36.20077230606304,1,Unknown,pre,midwest-flooding_00000242_pre_disaster.json
193,socal-fire,fire,2018-11-14 18:42:58,,,1,Unknown,post,socal-fire_00001283_post_disaster.json
194,palu-tsunami,tsunami,2017-01-24 02:18:34,119.8320446746949,-0.8739860991898477,1,Unknown,pre,palu-tsunami_00000045_pre_disaster.json
195,palu-tsunami,tsunami,2018-10-01 02:26:02,119.826539344009,-0.8782489864514738,7,destroyed,post,palu-tsunami_00000040_post_disaster.json
196,midwest-flooding,flooding,2019-05-31 16:54:31,-92.32155677055817,34.7248418107874,1,no-damage,post,midwest-flooding_00000061_post_disaster.json
197,hurricane-harvey,flooding,2017-08-31 17:38:50,-95.43060126562725,29.73490185380586,1,un-classified,post,hurricane-harvey_00000012_post_disaster.json
