disaster,disaster_type,date,lgt,lat,severity,highest_severity,moment,file
hurricane-florence,flooding,2018-09-20 16:04:41,-77.9397326706234,34.80040719852961,2,minor-damage,post,hurricane-florence_00000435_post_disaster.json
midwest-flooding,flooding,2019-01-26 17:16:23,-96.37081527898016,36.10602824875916,1,Unknown,pre,midwest-flooding_00000389_pre_disaster.json
socal-fire,fire,2018-11-14 18:42:58,,,1,Unknown,post,socal-fire_00000157_post_disaster.json
hurricane-florence,flooding,2018-04-06 15:49:36,-77.85338556153519,34.77508174863846,1,Unknown,pre,hurricane-florence_00000504_pre_disaster.json
socal-fire,fire,2018-11-14 18:42:58,-118.738185976786,34.1641226786842,1,no-damage,post,socal-fire_00001264_post_disaster.json
hurricane-harvey,flooding,2017-08-31 17:38:50,-95.64559664143927,29.77894779123876,1,no-damage,post,hurricane-harvey_00000158_post_disaster.json
midwest-flooding,flooding,2019-05-30 17:35:04,-96.29779088543751,36.24991000172025,1,no-damage,post,midwest-flooding_00000171_post_disaster.json
socal-fire,fire,2018-11-14 18:42:58,-118.8918142892813,34.06717995336442,88,destroyed,post,socal-fire_00000360_post_disaster.json
socal-fire,fire,2018-10-23 18:51:02,,,1,Unknown,pre,socal-fire_00000167_pre_disaster.json
mexico-earthquake,earthquake,2017-09-20 17:46:11,-99.2092188579044,19.32699853929903,1,no-damage,post,mexico-earthquake_00000017_post_disaster.json
socal-fire,fire,2018-11-14 18:42:58,,,1,Unknown,post,socal-fire_00001203_post_disaster.json
hurricane-michael,wind,2017-11-29 16:28:19,-85.66905572535343,30.19839743879189,1,Unknown,pre,hurricane-michael_00000238_pre_disaster.json
midwest-flooding,flooding,2019-05-30 17:35:04,-96.31441674963817,36.09020931824669,1,no-damage,post,midwest-flooding_00000385_post_disaster.json
santa-rosa-wildfire,fire,2017-10-11 19:19:41,-122.6805351546672,38.49347294087897,16,destroyed,post,santa-rosa-wildfire_00000287_post_disaster.json
palu-tsunami,tsunami,2016-10-25 02:26:09,119.8114823434629,-0.8382395811128229,1,Unknown,pre,palu-tsunami_00000142_pre_disaster.json
palu-tsunami,tsunami,2017-11-04 02:53:13,119.7995852745856,-0.7897781143887156,1,Unknown,pre,palu-tsunami_00000001_pre_disaster.json
palu-tsunami,tsunami,2018-02-20 02:24:45,119.9150998496639,-0.9389214109357137,1,Unknown,pre,palu-tsunami_00000182_pre_disaster.json
hurricane-harvey,flooding,2017-08-31 17:38:50,-95.6463778862436,29.83241604405945,20,destroyed,post,hurricane-harvey_00000091_post_disaster.json
hurricane-matthew,wind,2013-06-09 15:51:17,-74.121877399513,18.63238839596673,1,Unknown,pre,hurricane-matthew_00000126_pre_disaster.json
hurricane-michael,wind,2017-10-05 16:51:27,-85.75117997038255,30.16598700372327,1,Unknown,pre,hurricane-michael_00000530_pre_disaster.json
hurricane-michael,wind,2017-11-29 16:28:19,-85.62087602921564,30.13797358400775,1,Unknown,pre,hurricane-michael_00000024_pre_disaster.json
hurricane-harvey,flooding,2017-02-16 17:11:58,-95.62419392636602,29.77056840016042,1,Unknown,pre,hurricane-harvey_00000388_pre_disaster.json
hurricane-matthew,wind,2016-10-10 16:04:56,-74.09956850754354,18.25881378065013,198,destroyed,post,hurricane-matthew_00000399_post_disaster.json
santa-rosa-wildfire,fire,2017-06-21 19:09:01,-122.7089434020048,38.52561230866382,1,Unknown,pre,santa-rosa-wildfire_00000196_pre_disaster.json
santa-rosa-wildfire,fire,2017-10-11 19:19:41,-122.736137216581,38.4426655657731,1,no-damage,post,santa-rosa-wildfire_00000179_post_disaster.json
socal-fire,fire,2018-11-14 18:42:58,-118.8280552706091,34.13450775773734,1,no-damage,post,socal-fire_00000866_post_disaster.json
hurricane-florence,flooding,2018-09-20 16:04:41,-77.92691709923568,34.60559065418771,1,no-damage,post,hurricane-florence_00000044_post_disaster.json
midwest-flooding,flooding,2019-05-31 16:54:31,,,1,Unknown,post,midwest-flooding_00000040_post_disaster.json
hurricane-harvey,flooding,2017-02-16 17:11:58,-95.6373894052237,29.5233500623209,1,Unknown,pre,hurricane-harvey_00000039_pre_disaster.json
midwest-flooding,flooding,2019-01-26 17:16:23,-96.29054100642828,35.95814061404779,1,Unknown,pre,midwest-flooding_00000397_pre_disaster.json
midwest-flooding,flooding,2019-05-30 17:35:22,-96.22675739839993,36.142439454702,4,minor-damage,post,midwest-flooding_00000351_post_disaster.json
hurricane-matthew,wind,2016-10-10 16:04:56,,,1,Unknown,post,hurricane-matthew_00000388_post_disaster.json
hurricane-matthew,wind,2013-06-09 15:51:17,-74.155721278851,18.55251413588129,1,Unknown,pre,hurricane-matthew_00000316_pre_disaster.json
hurricane-florence,flooding,2018-04-06 15:49:36,-78.01320609142435,34.77975808904657,1,Unknown,pre,hurricane-florence_00000393_pre_disaster.json
socal-fire,fire,2018-10-23 18:51:21,,,1,Unknown,pre,socal-fire_00000611_pre_disaster.json
hurricane-matthew,wind,2016-10-09 15:32:03,-73.77169199454376,18.19224799304611,77,major-damage,post,hurricane-matthew_00000072_post_disaster.json
socal-fire,fire,2018-11-14 18:42:58,,,1,Unknown,post,socal-fire_00000710_post_disaster.json
hurricane-harvey,flooding,2017-08-31 17:38:50,-95.67368474083202,29.58980120811416,1,no-damage,post,hurricane-harvey_00000057_post_disaster.json
hurricane-michael,wind,2018-10-13 16:48:15,,,1,Unknown,post,hurricane-michael_00000244_post_disaster.json
hurricane-matthew,wind,2016-10-01 15:29:45,-73.77259850327212,18.20349818460233,1,no-damage,post,hurricane-matthew_00000100_post_disaster.json
socal-fire,fire,2018-11-14 18:42:58,,,1,Unknown,post,socal-fire_00000704_post_disaster.json
hurricane-harvey,flooding,2017-02-16 17:11:58,-95.65670685971044,29.95858369141769,1,Unknown,pre,hurricane-harvey_00000285_pre_disaster.json
midwest-flooding,flooding,2019-05-30 17:35:04,,,1,Unknown,post,midwest-flooding_00000188_post_disaster.json
socal-fire,fire,2018-10-23 18:51:02,-118.8254114028155,34.03171465090929,1,Unknown,pre,socal-fire_00001001_pre_disaster.json
socal-fire,fire,2018-10-23 18:50:43,,,1,Unknown,pre,socal-fire_00001158_pre_disaster.json
hurricane-harvey,flooding,2017-08-31 17:38:50,-95.60856466098173,29.70728811061975,1,no-damage,post,hurricane-harvey_00000425_post_disaster.json
socal-fire,fire,2018-11-14 18:42:58,-118.8383233155019,34.12985266651182,1,no-damage,post,socal-fire_00000237_post_disaster.json
mexico-earthquake,earthquake,2017-09-20 17:46:11,-99.20011427137875,19.26427362847975,1,no-damage,post,mexico-earthquake_00000152_post_disaster.json
midwest-flooding,flooding,2019-05-30 17:35:04,-96.26662109297723,36.25841241498651,1,no-damage,post,midwest-flooding_00000162_post_disaster.json
socal-fire,fire,2018-11-14 18:42:58,-118.9067701889224,34.14239109948863,1,no-damage,post,socal-fire_00000002_post_disaster.json
mexico-earthquake,earthquake,2017-09-20 17:46:11,-99.18007417631823,19.32562961427238,1,no-damage,post,mexico-earthquake_00000041_post_disaster.json
socal-fire,fire,2018-11-14 18:42:58,,,1,Unknown,post,socal-fire_00000812_post_disaster.json
hurricane-michael,wind,2018-10-13 16:48:15,-85.61927179570984,30.21492177096246,11,minor-damage,post,hurricane-michael_00000109_post_disaster.json
mexico-earthquake,earthquake,2017-09-20 17:46:11,-99.19065760595717,19.29566025210636,2,minor-damage,post,mexico-earthquake_00000039_post_disaster.json
hurricane-harvey,flooding,2017-08-31 17:38:50,-95.6123574928801,29.52286608928296,1,un-classified,post,hurricane-harvey_00000288_post_disaster.json
hurricane-matthew,wind,2013-01-05 16:02:21,-73.75770363849036,18.20944984300735,1,Unknown,pre,hurricane-matthew_00000044_pre_disaster.json
hurricane-matthew,wind,2016-10-01 15:29:45,-73.77213627257132,18.20444666013028,75,major-damage,post,hurricane-matthew_00000103_post_disaster.json
palu-tsunami,tsunami,2018-10-01 02:26:02,119.8500876391867,-0.8857559336934356,237,destroyed,post,palu-tsunami_00000131_post_disaster.json
mexico-earthquake,earthquake,2017-01-04 17:31:25,-99.17837246766773,19.26047205277904,1,Unknown,pre,mexico-earthquake_00000158_pre_disaster.json
midwest-flooding,flooding,2019-01-26 17:17:36,-92.36297051246035,34.7594426408384,1,Unknown,pre,midwest-flooding_00000041_pre_disaster.json
hurricane-florence,flooding,2018-04-06 15:49:36,-77.9014990687695,34.55914430228884,1,Unknown,pre,hurricane-florence_00000122_pre_disaster.json
hurricane-harvey,flooding,2017-02-16 17:11:58,-95.5587205825484,29.71722775468356,1,Unknown,pre,hurricane-harvey_00000469_pre_disaster.json
socal-fire,fire,2018-11-14 18:42:58,-118.9235965311594,34.14520445826484,1,no-damage,post,socal-fire_00000252_post_disaster.json
socal-fire,fire,2018-11-14 18:42:58,,,1,Unknown,post,socal-fire_00001223_post_disaster.json
midwest-flooding,flooding,2019-01-26 17:16:23,,,1,Unknown,pre,midwest-flooding_00000209_pre_disaster.json
hurricane-michael,wind,2018-10-13 16:48:15,-85.64129985645673,30.20019660141303,38,destroyed,post,hurricane-michael_00000052_post_disaster.json
socal-fire,fire,2018-11-14 18:42:58,-118.8440966306334,34.09987102644649,10,destroyed,post,socal-fire_00000211_post_disaster.json
hurricane-florence,flooding,2018-04-06 15:49:36,-77.9387508668048,34.66543933959765,1,Unknown,pre,hurricane-florence_00000260_pre_disaster.json
hurricane-michael,wind,2018-10-13 16:48:15,-85.64035343753062,30.09947949753891,57,destroyed,post,hurricane-michael_00000045_post_disaster.json
socal-fire,fire,2018-11-14 18:42:58,-118.7989571169081,34.11992290126636,1,no-damage,post,socal-fire_00000628_post_disaster.json
hurricane-florence,flooding,2018-09-20 16:04:41,-77.9517603098159,34.56848937253609,1,no-damage,post,hurricane-florence_00000054_post_disaster.json
hurricane-michael,wind,2017-11-29 16:28:19,-85.65256385108698,30.10611969976686,1,Unknown,pre,hurricane-michael_00000046_pre_disaster.json
socal-fire,fire,2018-10-23 18:51:02,,,1,Unknown,pre,socal-fire_00000352_pre_disaster.json
socal-fire,fire,2018-11-14 18:42:58,-118.8665223741867,34.03890046932474,7,destroyed,post,socal-fire_00000473_post_disaster.json
santa-rosa-wildfire,fire,2017-10-11 19:19:41,-122.6736801787846,38.55504725799289,22,destroyed,post,santa-rosa-wildfire_00000191_post_disaster.json
hurricane-matthew,wind,2013-06-09 15:51:17,-74.12681446355138,18.58073724025511,1,Unknown,pre,hurricane-matthew_00000234_pre_disaster.json
midwest-flooding,flooding,2019-01-26 17:17:36,-92.31220282578347,34.75006969658364,1,Unknown,pre,midwest-flooding_00000066_pre_disaster.json
hurricane-michael,wind,2017-11-29 16:28:19,-85.64905951809358,30.21994340965834,1,Unknown,pre,hurricane-michael_00000172_pre_disaster.json
hurricane-harvey,flooding,2017-02-16 17:11:58,-95.65234252520706,29.53290055691254,1,Unknown,pre,hurricane-harvey_00000066_pre_disaster.json
santa-rosa-wildfire,fire,2017-10-11 19:19:41,-122.708079600704,38.47942765927084,34,destroyed,post,santa-rosa-wildfire_00000023_post_disaster.json
mexico-earthquake,earthquake,2017-01-04 17:31:25,-99.1981334328949,19.30019906697817,1,Unknown,pre,mexico-earthquake_00000102_pre_disaster.json
hurricane-michael,wind,2018-10-13 16:48:15,-85.6382526360039,30.28696230525113,15,minor-damage,post,hurricane-michael_00000329_post_disaster.json
hurricane-matthew,wind,2013-01-05 16:02:21,-73.77177931547105,18.17915866252748,1,Unknown,pre,hurricane-matthew_00000145_pre_disaster.json
hurricane-michael,wind,2017-10-05 16:51:27,,,1,Unknown,pre,hurricane-michael_00000380_pre_disaster.json
socal-fire,fire,2018-10-23 18:50:43,,,1,Unknown,pre,socal-fire_00000975_pre_disaster.json
socal-fire,fire,2018-11-14 18:42:58,,,1,Unknown,post,socal-fire_00001167_post_disaster.json
hurricane-michael,wind,2017-10-05 16:51:27,-85.71246371606541,30.18680924920474,1,Unknown,pre,hurricane-michael_00000511_pre_disaster.json
socal-fire,fire,2018-11-14 18:42:58,-118.7415690416615,34.04872276662113,1,un-classified,post,socal-fire_00001166_post_disaster.json
socal-fire,fire,2018-11-14 18:42:58,,,1,Unknown,post,socal-fire_00000015_post_disaster.json
socal-fire,fire,2018-11-14 18:42:58,,,1,Unknown,post,socal-fire_00001156_post_disaster.json
santa-rosa-wildfire,fire,2017-06-21 19:09:01,-122.7243252900054,38.44251246233592,1,Unknown,pre,santa-rosa-wildfire_00000199_pre_disaster.json
socal-fire,fire,2018-11-14 18:42:58,-118.8816418546774,34.08423094337849,21,destroyed,post,socal-fire_00000488_post_disaster.json
midwest-flooding,flooding,2019-05-30 17:35:04,,,1,Unknown,post,midwest-flooding_00000119_post_disaster.json
socal-fire,fire,2018-11-14 18:42:58,-118.920497076875,34.06253857168731,1,un-classified,post,socal-fire_00000552_post_disaster.json
socal-fire,fire,2018-11-14 18:42:58,-118.8300067712841,34.03522096475886,4,destroyed,post,socal-fire_00000340_post_disaster.json
mexico-earthquake,earthquake,2017-09-20 17:46:11,-99.17164164643967,19.29118914059814,2,minor-damage,post,mexico-earthquake_00000057_post_disaster.json
hurricane-michael,wind,2017-11-29 16:28:19,-85.62989360534266,30.16341975956619,1,Unknown,pre,hurricane-michael_00000311_pre_disaster.json
palu-tsunami,tsunami,2018-10-01 02:26:02,119.8114823433888,-0.8382395811125062,51,destroyed,post,palu-tsunami_00000142_post_disaster.json
socal-fire,fire,2018-11-14 18:42:58,,,1,Unknown,post,socal-fire_00000968_post_disaster.json
santa-rosa-wildfire,fire,2017-06-21 19:09:01,-122.697386996704,38.52432886489239,1,Unknown,pre,santa-rosa-wildfire_00000208_pre_disaster.json
hurricane-harvey,flooding,2017-02-16 17:11:58,-95.62499976548072,29.52631135531937,1,Unknown,pre,hurricane-harvey_00000051_pre_disaster.json
hurricane-florence,flooding,2018-09-20 16:04:41,-77.98869101831667,34.72973075941335,1,no-damage,post,hurricane-florence_00000426_post_disaster.json
socal-fire,fire,2018-10-23 18:51:02,,,1,Unknown,pre,socal-fire_00001320_pre_disaster.json
santa-rosa-wildfire,fire,2017-06-21 19:09:01,-122.7359616271066,38.54659124488578,1,Unknown,pre,santa-rosa-wildfire_00000128_pre_disaster.json
socal-fire,fire,2018-11-14 18:42:58,-118.8279913540344,34.04648252116399,1,un-classified,post,socal-fire_00001178_post_disaster.json
hurricane-matthew,wind,2013-01-05 16:02:21,-73.77168719371825,18.19231736516958,1,Unknown,pre,hurricane-matthew_00000072_pre_disaster.json
socal-fire,fire,2018-11-14 18:42:58,,,1,Unknown,post,socal-fire_00001391_post_disaster.json
palu-tsunami,tsunami,2017-01-24 02:18:34,119.854107771618,-0.7398508818752598,1,Unknown,pre,palu-tsunami_00000016_pre_disaster.json
santa-rosa-wildfire,fire,2017-10-11 19:19:41,-122.6625555540436,38.52614683641773,7,destroyed,post,santa-rosa-wildfire_00000293_post_disaster.json
midwest-flooding,flooding,2019-05-30 17:35:04,,,1,Unknown,post,midwest-flooding_00000177_post_disaster.json
hurricane-florence,flooding,2018-04-06 15:49:36,-78.01880524888419,34.74802872866269,1,Unknown,pre,hurricane-florence_00000441_pre_disaster.json
midwest-flooding,flooding,2019-05-30 17:35:22,,,1,Unknown,post,midwest-flooding_00000078_post_disaster.json
hurricane-florence,flooding,2018-09-20 16:04:41,-77.85990960068295,34.58997210108453,9,major-damage,post,hurricane-florence_00000111_post_disaster.json
midwest-flooding,flooding,2019-01-26 17:17:36,-92.35773815104648,34.78425076148422,1,Unknown,pre,midwest-flooding_00000043_pre_disaster.json
socal-fire,fire,2018-11-14 18:42:58,-118.7210512208106,34.11601785960978,1,no-damage,post,socal-fire_00001292_post_disaster.json
santa-rosa-wildfire,fire,2017-05-21 19:19:19,-122.6465665142668,38.54669699653741,1,Unknown,pre,santa-rosa-wildfire_00000264_pre_disaster.json
hurricane-florence,flooding,2018-09-20 16:04:41,-77.85569779561108,34.54865617598041,1,no-damage,post,hurricane-florence_00000212_post_disaster.json
palu-tsunami,tsunami,2018-02-20 02:24:45,119.9167154274119,-0.9434394407282163,1,Unknown,pre,palu-tsunami_00000167_pre_disaster.json
socal-fire,fire,2018-10-23 18:51:02,,,1,Unknown,pre,socal-fire_00000322_pre_disaster.json
hurricane-florence,flooding,2018-09-20 16:04:41,-77.86127760137097,34.59928889635735,23,major-damage,post,hurricane-florence_00000114_post_disaster.json
hurricane-michael,wind,2018-10-13 16:48:15,-85.77389567824275,30.16817790345858,14,minor-damage,post,hurricane-michael_00000467_post_disaster.json
santa-rosa-wildfire,fire,2017-06-21 19:09:01,-122.6995840782645,38.48370298286785,1,Unknown,pre,santa-rosa-wildfire_00000129_pre_disaster.json
hurricane-florence,flooding,2018-04-06 15:49:36,-77.956664807138,34.68351940868754,1,Unknown,pre,hurricane-florence_00000226_pre_disaster.json
santa-rosa-wildfire,fire,2017-10-11 19:19:41,-122.6802323250727,38.50581808430657,6,destroyed,post,santa-rosa-wildfire_00000274_post_disaster.json
hurricane-harvey,flooding,2017-02-16 17:11:58,-95.62254435033974,29.49841997990054,1,Unknown,pre,hurricane-harvey_00000244_pre_disaster.json
hurricane-florence,flooding,2018-04-06 15:49:36,-77.84919325599827,34.61854611448025,1,Unknown,pre,hurricane-florence_00000072_pre_disaster.json
hurricane-florence,flooding,2018-09-20 16:04:41,-77.94615782749872,34.6371667194145,1,no-damage,post,hurricane-florence_00000232_post_disaster.json
hurricane-michael,wind,2018-10-13 16:48:15,-85.6434898734652,30.15410556818892,6,minor-damage,post,hurricane-michael_00000296_post_disaster.json
santa-rosa-wildfire,fire,2017-06-21 19:09:01,-122.7460300626746,38.49731577587777,1,Unknown,pre,santa-rosa-wildfire_00000075_pre_disaster.json
hurricane-harvey,flooding,2017-02-16 17:11:58,-95.55711126819958,29.76601553017908,1,Unknown,pre,hurricane-harvey_00000434_pre_disaster.json
midwest-flooding,flooding,2019-05-30 17:35:04,,,1,Unknown,post,midwest-flooding_00000156_post_disaster.json
hurricane-harvey,flooding,2017-08-31 17:38:50,-95.61153414384033,29.84744913650945,191,destroyed,post,hurricane-harvey_00000500_post_disaster.json
socal-fire,fire,2018-10-23 18:51:02,-118.9067701889181,34.14239109949084,1,Unknown,pre,socal-fire_00000002_pre_disaster.json
hurricane-michael,wind,2018-10-13 16:48:15,-85.62576415123014,30.17163637952704,46,destroyed,post,hurricane-michael_00000301_post_disaster.json
midwest-flooding,flooding,2019-05-30 17:35:04,-96.31985760388129,36.24993474771804,3,minor-damage,post,midwest-flooding_00000161_post_disaster.json
hurricane-michael,wind,2017-11-29 16:28:19,-85.6500604612358,30.14874605164696,1,Unknown,pre,hurricane-michael_00000273_pre_disaster.json
santa-rosa-wildfire,fire,2017-10-11 19:19:41,-122.6720020878892,38.47562673639614,1,no-damage,post,santa-rosa-wildfire_00000368_post_disaster.json
socal-fire,fire,2018-11-14 18:42:58,,,1,Unknown,post,socal-fire_00000398_post_disaster.json
hurricane-michael,wind,2018-10-13 16:48:15,-85.61861954680998,30.20403874037664,43,destroyed,post,hurricane-michael_00000207_post_disaster.json
hurricane-michael,wind,2018-10-13 16:48:15,-85.63958652453881,30.09337710239553,50,major-damage,post,hurricane-michael_00000144_post_disaster.json
socal-fire,fire,2018-11-14 18:42:58,,,1,Unknown,post,socal-fire_00000122_post_disaster.json
socal-fire,fire,2018-11-14 18:42:58,-118.8367370150348,34.07516411909061,4,destroyed,post,socal-fire_00000102_post_disaster.json
hurricane-florence,flooding,2018-09-20 16:04:41,-77.87892498627556,34.78968512430963,13,major-damage,post,hurricane-florence_00000401_post_disaster.json
hurricane-michael,wind,2017-11-29 16:28:19,-85.66723134298482,30.17179098140883,1,Unknown,pre,hurricane-michael_00000272_pre_disaster.json
mexico-earthquake,earthquake,2017-01-04 17:31:25,-99.22852461101051,19.31800008594794,1,Unknown,pre,mexico-earthquake_00000003_pre_disaster.json
hurricane-harvey,flooding,2017-08-31 17:38:50,-95.62583939238903,29.77985457985063,7,major-damage,post,hurricane-harvey_00000165_post_disaster.json
hurricane-matthew,wind,2016-10-01 15:29:45,-73.7952227833706,18.19986466109876,43,minor-damage,post,hurricane-matthew_00000051_post_disaster.json
santa-rosa-wildfire,fire,2017-10-11 19:19:41,-122.7128545412156,38.54327194597433,26,destroyed,post,santa-rosa-wildfire_00000152_post_disaster.json
socal-fire,fire,2018-11-14 18:42:58,,,1,Unknown,post,socal-fire_00000999_post_disaster.json
hurricane-harvey,flooding,2017-02-16 17:11:58,-95.66040282053105,29.86640372883359,1,Unknown,pre,hurricane-harvey_00000098_pre_disaster.json
hurricane-matthew,wind,2013-06-09 15:51:17,-74.09659902933859,18.55791366881552,1,Unknown,pre,hurricane-matthew_00000305_pre_disaster.json
socal-fire,fire,2018-11-14 18:42:58,,,1,Unknown,post,socal-fire_00000450_post_disaster.json
midwest-flooding,flooding,2019-01-26 17:16:23,-96.325907374618,36.1242965004832,1,Unknown,pre,midwest-flooding_00000346_pre_disaster.json
hurricane-florence,flooding,2018-04-06 15:49:36,-77.93438372569604,34.57524735778637,1,Unknown,pre,hurricane-florence_00000069_pre_disaster.json
socal-fire,fire,2018-11-14 18:42:58,,,1,Unknown,post,socal-fire_00000295_post_disaster.json
palu-tsunami,tsunami,2018-02-20 02:24:45,119.9202595748425,-0.9434504944613334,1,Unknown,pre,palu-tsunami_00000169_pre_disaster.json
socal-fire,fire,2018-10-23 18:51:02,-118.7692095082525,34.10647786419305,1,Unknown,pre,socal-fire_00000962_pre_disaster.json
santa-rosa-wildfire,fire,2017-05-21 19:19:19,-122.6736366468318,38.49876577574552,1,Unknown,pre,santa-rosa-wildfire_00000275_pre_disaster.json
socal-fire,fire,2018-10-23 18:51:21,,,1,Unknown,pre,socal-fire_00000186_pre_disaster.json
santa-rosa-wildfire,fire,2017-05-21 19:19:19,,,1,Unknown,pre,santa-rosa-wildfire_00000327_pre_disaster.json
midwest-flooding,flooding,2019-01-26 17:16:23,-96.21785367493949,36.16660686495598,1,Unknown,pre,midwest-flooding_00000357_pre_disaster.json
socal-fire,fire,2018-11-14 18:42:58,-118.8233531349503,34.13457768829949,1,no-damage,post,socal-fire_00000880_post_disaster.json
santa-rosa-wildfire,fire,2017-10-11 19:19:41,-122.7203713209776,38.49639274837428,16,destroyed,post,santa-rosa-wildfire_00000094_post_disaster.json
hurricane-matthew,wind,2016-10-09 15:32:03,-73.74817594853383,18.19126131831468,385,destroyed,post,hurricane-matthew_00000104_post_disaster.json
hurricane-florence,flooding,2018-04-06 15:49:36,-77.91921872575503,34.74838939286796,1,Unknown,pre,hurricane-florence_00000414_pre_disaster.json
hurricane-harvey,flooding,2017-02-16 17:11:58,-95.56138592810206,29.53122959578929,1,Unknown,pre,hurricane-harvey_00000249_pre_disaster.json
santa-rosa-wildfire,fire,2017-05-21 19:19:19,-122.6688604436788,38.51578400667367,1,Unknown,pre,santa-rosa-wildfire_00000283_pre_disaster.json
socal-fire,fire,2018-10-23 18:51:02,-118.7409207856185,34.14851834923837,1,Unknown,pre,socal-fire_00000655_pre_disaster.json
socal-fire,fire,2018-10-23 18:51:02,,,1,Unknown,pre,socal-fire_00000998_pre_disaster.json
socal-fire,fire,2018-10-23 18:51:02,,,1,Unknown,pre,socal-fire_00000445_pre_disaster.json
hurricane-michael,wind,2017-11-29 16:28:19,-85.663635491798,30.18936327068495,1,Unknown,pre,hurricane-michael_00000241_pre_disaster.json
midwest-flooding,flooding,2019-05-31 16:54:31,-92.36762170769767,34.7167975815742,1,no-damage,post,midwest-flooding_00000001_post_disaster.json
hurricane-matthew,wind,2016-10-10 16:04:56,-74.09589676310846,18.58446631415497,16,destroyed,post,hurricane-matthew_00000195_post_disaster.json
palu-tsunami,tsunami,2018-10-01 02:26:02,119.8546796382041,-0.7040534012908067,3,major-damage,post,palu-tsunami_00000005_post_disaster.json
hurricane-florence,flooding,2018-04-06 15:49:36,-77.94687783535886,34.84069871556274,1,Unknown,pre,hurricane-florence_00000526_pre_disaster.json
mexico-earthquake,earthquake,2017-09-20 17:46:11,-99.1436297017496,19.28818913866621,5,minor-damage,post,mexico-earthquake_00000082_post_disaster.json
socal-fire,fire,2018-11-14 18:42:58,-118.8187865544697,34.03431059440481,19,destroyed,post,socal-fire_00001270_post_disaster.json
